schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Vanderbilt,https://www.sports-reference.com/cbb/schools/vanderbilt/1993.html,2,1993,34,28,6,0.824,19.82,6.4,14,2,,,,,2822,2375,,,0.409,0.323,0.599,50.7,58.5,,6.6,0.567,17.1,,0.298
Virginia,https://www.sports-reference.com/cbb/schools/virginia/1993.html,2,1993,31,21,10,0.677,14.6,9.76,9,7,,,,,2299,2149,,,0.371,0.218,0.509,52.5,56.9,,8.2,0.477,16.6,,0.242
Wake Forest,https://www.sports-reference.com/cbb/schools/wake-forest/1993.html,2,1993,30,21,9,0.7,16.82,9.32,10,6,,,,,2330,2105,,,0.392,0.265,0.578,53.5,59.1,,6.9,0.544,17.7,,0.283
Western Kentucky,https://www.sports-reference.com/cbb/schools/western-kentucky/1993.html,2,1993,32,26,6,0.813,15.22,1.75,14,4,,,,,2723,2293,,,0.416,0.277,0.553,53.1,52.5,,9.3,0.529,17.8,,0.267
Wright State,https://www.sports-reference.com/cbb/schools/wright-state/1993.html,0,1993,30,20,10,0.667,3.1,-5.97,10,6,,,,,2674,2352,,,0.394,0.211,0.589,54.5,55.5,,6.2,0.556,17.9,,0.286
Xavier,https://www.sports-reference.com/cbb/schools/xavier/1993.html,1,1993,30,24,6,0.8,10.89,2.75,12,2,,,,,2230,1954,,,0.354,0.205,0.569,53,57.7,,10,0.542,17.3,,0.244
Alabama-Birmingham,https://www.sports-reference.com/cbb/schools/alabama-birmingham/1994.html,0,1994,30,22,8,0.733,14.71,3.51,8,4,,,,,2142,1806,,,0.319,0.298,0.524,50.4,49.1,,6.9,0.495,14.9,,0.217
Alabama,https://www.sports-reference.com/cbb/schools/alabama/1994.html,1,1994,30,20,10,0.667,10.19,6.06,12,4,,,,,2208,2084,,,0.411,0.266,0.525,52.5,49.8,,12.2,0.492,19.5,,0.27
Arizona,https://www.sports-reference.com/cbb/schools/arizona/1994.html,4,1994,35,29,6,0.829,23.7,8.84,14,4,,,,,3124,2604,,,0.386,0.344,0.577,51.9,52.4,,6.3,0.545,15.1,,0.275
Arkansas,https://www.sports-reference.com/cbb/schools/arkansas/1994.html,6,1994,34,31,3,0.912,23.88,7.55,14,2,,,,,3176,2569,,,0.353,0.329,0.576,50.7,59.5,,8.6,0.552,16.3,,0.24
Boise State,https://www.sports-reference.com/cbb/schools/boise-state/1994.html,0,1994,30,17,13,0.567,2.03,0.25,7,7,,,,,2174,2071,,,0.364,0.179,0.521,50.4,61.3,,11.5,0.504,18.9,,0.215
Boston College,https://www.sports-reference.com/cbb/schools/boston-college/1994.html,3,1994,34,23,11,0.676,16.8,9.83,11,7,,,,,2658,2381,,,0.392,0.289,0.559,51.1,56.8,,4.4,0.529,16.3,,0.267
University of California,https://www.sports-reference.com/cbb/schools/california/1994.html,0,1994,30,22,8,0.733,14.24,7.14,13,5,,,,,2358,2145,,,0.424,0.293,0.548,49.9,63.2,,9.4,0.516,16.9,,0.284
Central Florida,https://www.sports-reference.com/cbb/schools/central-florida/1994.html,0,1994,30,21,9,0.7,-6.25,-7.82,11,5,,,,,2418,2318,,,0.398,0.219,0.538,52.6,53.1,,8.3,0.505,16.5,,0.271
Chattanooga,https://www.sports-reference.com/cbb/schools/chattanooga/1994.html,0,1994,30,23,7,0.767,1.98,-1.77,14,4,,,,,2451,2309,,,0.459,0.342,0.577,49.2,55.4,,5.8,0.538,16.8,,0.328
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/1994.html,0,1994,32,22,10,0.688,15.3,6.18,7,5,,,,,2485,2193,,,0.37,0.344,0.525,54.4,50.1,,6.7,0.491,16.8,,0.253
College of Charleston,https://www.sports-reference.com/cbb/schools/college-of-charleston/1994.html,0,1994,28,24,4,0.857,4.54,-5.76,14,2,,,,,2147,1833,,,0.426,0.245,0.567,50.4,55.8,,8,0.544,16.5,,0.276
Connecticut,https://www.sports-reference.com/cbb/schools/connecticut/1994.html,2,1994,34,29,5,0.853,22.63,6.31,16,2,,,,,2888,2333,,,0.398,0.246,0.575,54.1,60.1,,14,0.541,17.3,,0.287
Drexel,https://www.sports-reference.com/cbb/schools/drexel/1994.html,0,1994,30,25,5,0.833,3.31,-6.17,12,2,,,,,2295,1968,,,0.442,0.306,0.534,52.7,63,,4.8,0.506,14.6,,0.279
Duke,https://www.sports-reference.com/cbb/schools/duke/1994.html,5,1994,34,28,6,0.824,19.21,8.92,12,4,,,,,2639,2289,,,0.408,0.241,0.566,50.6,55.7,,12.5,0.53,17.1,,0.29
Florida,https://www.sports-reference.com/cbb/schools/florida/1994.html,4,1994,37,29,8,0.784,16.11,9.01,12,4,,,,,2777,2514,,,0.4,0.251,0.538,54.3,53.7,,10.1,0.499,18.6,,0.282
George Washington,https://www.sports-reference.com/cbb/schools/george-washington/1994.html,1,1994,30,18,12,0.6,9.28,6.38,8,8,,,,,2078,1991,,,0.389,0.309,0.494,49.5,54.1,,9.8,0.459,17.3,,0.252
Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/1994.html,1,1994,31,19,12,0.613,17.42,12.07,10,8,,,,,2264,2036,,,0.476,0.237,0.518,53.2,55.6,,10.3,0.467,19.5,,0.337
Green Bay,https://www.sports-reference.com/cbb/schools/green-bay/1994.html,1,1994,34,27,7,0.794,9.8,-1.88,15,3,,,,,2258,1872,,,0.361,0.236,0.573,51.2,70.8,,6.8,0.534,18.2,,0.275
Hawaii,https://www.sports-reference.com/cbb/schools/hawaii/1994.html,0,1994,33,18,15,0.545,1.62,4.14,11,7,,,,,2377,2460,,,0.324,0.277,0.514,48.6,60,,8.9,0.488,17.3,,0.212
Illinois,https://www.sports-reference.com/cbb/schools/illinois/1994.html,0,1994,28,17,11,0.607,18.96,9.75,10,8,,,,,2353,2095,,,0.421,0.251,0.564,54.7,58,,6.7,0.526,15.2,,0.302
Indiana,https://www.sports-reference.com/cbb/schools/indiana/1994.html,2,1994,30,21,9,0.7,15.92,12.05,12,6,,,,,2428,2312,,,0.451,0.233,0.581,51.4,62.9,,9,0.537,18.6,,0.338
James Madison,https://www.sports-reference.com/cbb/schools/james-madison/1994.html,0,1994,30,20,10,0.667,2.2,-1.41,10,4,,,,,2498,2390,,,0.405,0.283,0.588,48.5,50.2,,7.8,0.555,17.8,,0.291
Kansas,https://www.sports-reference.com/cbb/schools/kansas/1994.html,2,1994,35,27,8,0.771,20.69,8.6,9,5,,,,,2817,2392,,,0.409,0.243,0.541,53.9,61.2,,9.2,0.517,17.8,,0.259
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/1994.html,1,1994,34,27,7,0.794,21.56,9.41,12,4,,,,,2952,2537,,,0.399,0.39,0.565,49.6,63.1,,13.2,0.536,17,,0.272
Liberty,https://www.sports-reference.com/cbb/schools/liberty/1994.html,0,1994,30,18,12,0.6,-6.62,-6.98,12,6,,,,,2152,2091,,,0.383,0.345,0.548,49.5,64.5,,9.1,0.511,19.3,,0.274
Louisiana,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/1994.html,0,1994,30,22,8,0.733,5.7,-1.02,13,5,,,,,2264,2157,,,0.341,0.322,0.538,44.1,51.8,,7.8,0.502,14.8,,0.246
Louisville,https://www.sports-reference.com/cbb/schools/louisville/1994.html,2,1994,34,28,6,0.824,18.71,7.35,10,2,,,,,2726,2339,,,0.388,0.298,0.562,51.1,56.5,,11.2,0.542,17.4,,0.247
Loyola (MD),https://www.sports-reference.com/cbb/schools/loyola-md/1994.html,0,1994,30,17,13,0.567,-3.04,-3.01,6,8,,,,,2359,2361,,,0.443,0.284,0.529,50.2,57.6,,3.7,0.488,19.5,,0.305
Marquette,https://www.sports-reference.com/cbb/schools/marquette/1994.html,2,1994,33,24,9,0.727,15.64,8.02,10,2,,,,,2298,2040,,,0.371,0.289,0.537,51.9,70.8,,13.8,0.507,16.8,,0.251
Maryland,https://www.sports-reference.com/cbb/schools/maryland/1994.html,2,1994,30,18,12,0.6,14.07,7.34,8,8,,,,,2399,2197,,,0.403,0.211,0.53,51,57.8,,13.3,0.494,19.1,,0.275
Massachusetts,https://www.sports-reference.com/cbb/schools/massachusetts/1994.html,1,1994,35,28,7,0.8,16.78,6.3,14,2,,,,,2674,2307,,,0.443,0.228,0.513,52.6,55.4,,13.2,0.481,16.8,,0.28
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/1994.html,1,1994,32,20,12,0.625,15.67,10.7,10,8,,,,,2426,2267,,,0.302,0.224,0.566,53.8,54.4,,6.6,0.546,19.2,,0.202
Michigan,https://www.sports-reference.com/cbb/schools/michigan/1994.html,3,1994,32,24,8,0.75,17.91,12.04,13,5,,,,,2542,2352,,,0.334,0.25,0.554,53.1,54.6,,6.8,0.53,17.7,,0.225
Minnesota,https://www.sports-reference.com/cbb/schools/minnesota/1994.html,1,1994,35,22,13,0.629,19.14,10.14,10,8,,,,,2602,2312,,,0.334,0.249,0.536,52.6,63.1,,6.4,0.504,15.3,,0.233
Missouri,https://www.sports-reference.com/cbb/schools/missouri/1994.html,3,1994,32,28,4,0.875,15.65,8.26,14,0,,,,,2593,2361,,,0.444,0.293,0.545,50.5,54.8,,7.4,0.509,16.7,,0.302
Navy,https://www.sports-reference.com/cbb/schools/navy/1994.html,0,1994,30,17,13,0.567,-7.74,-8.84,9,5,,,,,2248,2207,,,0.418,0.266,0.533,53.2,57.4,,6.6,0.508,19.4,,0.262
Nebraska,https://www.sports-reference.com/cbb/schools/nebraska/1994.html,0,1994,30,20,10,0.667,13.54,6.84,7,7,,,,,2620,2419,,,0.349,0.285,0.568,50.8,60.8,,8.7,0.532,17.1,,0.26
New Mexico State,https://www.sports-reference.com/cbb/schools/new-mexico-state/1994.html,0,1994,31,23,8,0.742,6.26,-0.6,12,6,,,,,2500,2214,,,0.433,0.304,0.522,52.2,56.6,,9.7,0.506,18.9,,0.248
New Mexico,https://www.sports-reference.com/cbb/schools/new-mexico/1994.html,0,1994,31,23,8,0.742,9.55,0.93,14,4,,,,,2410,2092,,,0.381,0.437,0.57,52,50.7,,8.2,0.534,15.6,,0.279
North Carolina A&T,https://www.sports-reference.com/cbb/schools/north-carolina-at/1994.html,0,1994,30,16,14,0.533,-10.14,-7.89,10,6,,,,,2265,2320,,,0.505,0.269,0.551,49.6,44.5,,5.2,0.508,22,,0.35
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/1994.html,1,1994,35,28,7,0.8,22.59,9.36,11,5,,,,,2996,2533,,,0.461,0.2,0.562,55.4,59.5,,14.3,0.532,16.6,,0.306
Ohio,https://www.sports-reference.com/cbb/schools/ohio/1994.html,0,1994,33,25,8,0.758,11.52,0.23,14,4,,,,,2668,2282,,,0.468,0.272,0.561,53.9,52.9,,11.7,0.529,17.1,,0.315
Oklahoma State,https://www.sports-reference.com/cbb/schools/oklahoma-state/1994.html,1,1994,34,24,10,0.706,17.65,8.37,10,4,,,,,2738,2339,,,0.404,0.31,0.574,52.2,69.9,,7.9,0.549,17.3,,0.271
