schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Albany (NY),https://www.sports-reference.com/cbb/schools/albany-ny/2013.html,0,2013,35,24,11,0.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,62.8,102.1,0.4,0.329,0.541,48.9,51.8,8.7,5.9,0.496,18.4,31.7,0.295
Arizona,https://www.sports-reference.com/cbb/schools/arizona/2013.html,2,2013,35,27,8,0.771,17.3,7.47,12,6,14,2,7,4,2570,2226,66.8,109.5,0.374,0.375,0.565,52.7,54.1,10,10.2,0.525,16.8,35,0.28
Belmont,https://www.sports-reference.com/cbb/schools/belmont/2013.html,0,2013,33,26,7,0.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,68.1,112.3,0.328,0.395,0.594,46.8,57,14.3,8,0.567,17.1,29.9,0.24
Boise State,https://www.sports-reference.com/cbb/schools/boise-state/2013.html,0,2013,32,21,11,0.656,9.44,5.27,9,7,14,1,5,8,2343,2095,66.3,109.9,0.334,0.356,0.565,51.1,51.3,9.9,5.4,0.53,15.7,31.5,0.249
Bucknell,https://www.sports-reference.com/cbb/schools/bucknell/2013.html,0,2013,34,28,6,0.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,62.6,107,0.361,0.242,0.538,52.3,55.6,5.5,10.8,0.496,13.2,29.3,0.268
Butler,https://www.sports-reference.com/cbb/schools/butler/2013.html,1,2013,36,27,9,0.75,10.99,6.08,11,5,14,2,7,4,2495,2299,64.9,106.4,0.385,0.356,0.546,53.4,53.5,8.8,7,0.512,17.2,36.3,0.268
University of California,https://www.sports-reference.com/cbb/schools/california/2013.html,1,2013,33,21,12,0.636,10.65,7.77,12,6,11,5,6,5,2218,2123,66.5,100.7,0.312,0.236,0.515,50,56.2,8.7,11.4,0.48,16.2,32.5,0.223
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/2013.html,0,2013,34,22,12,0.647,14.46,6.93,9,9,13,5,4,5,2262,2006,64.9,101.4,0.355,0.371,0.493,51.7,52.5,10.8,16.1,0.462,15.8,38.7,0.229
Colorado State,https://www.sports-reference.com/cbb/schools/colorado-state/2013.html,1,2013,35,26,9,0.743,13.65,5.89,11,5,16,1,6,6,2553,2229,64.6,112.6,0.436,0.271,0.539,56.9,50.5,7.1,6.4,0.495,14.1,41.2,0.312
Colorado,https://www.sports-reference.com/cbb/schools/colorado/2013.html,0,2013,33,21,12,0.636,11.95,7.95,10,8,12,3,5,7,2230,2098,65.7,101.4,0.409,0.289,0.522,50.2,42.3,10.5,8.6,0.483,17.1,33.6,0.281
Creighton,https://www.sports-reference.com/cbb/schools/creighton/2013.html,1,2013,36,28,8,0.778,16.44,5.16,13,5,15,2,7,5,2680,2274,65,114.5,0.342,0.394,0.612,51.6,64.6,7.4,6.6,0.582,16.8,28.8,0.26
Davidson,https://www.sports-reference.com/cbb/schools/davidson/2013.html,0,2013,34,26,8,0.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,64.8,112.7,0.388,0.383,0.58,49.3,56.5,8.6,7.6,0.532,14.7,29,0.309
Duke,https://www.sports-reference.com/cbb/schools/duke/2013.html,3,2013,36,30,6,0.833,21.43,9.54,14,4,16,0,5,4,2778,2350,68.2,113.1,0.392,0.333,0.576,47.3,53.6,9.4,9,0.539,13.7,28.8,0.289
Florida Gulf Coast,https://www.sports-reference.com/cbb/schools/florida-gulf-coast/2013.html,2,2013,37,26,11,0.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,69.5,103.8,0.348,0.342,0.548,48.3,53.6,12.7,10.5,0.521,18.1,32.2,0.235
Florida,https://www.sports-reference.com/cbb/schools/florida/2013.html,3,2013,37,29,8,0.784,23.86,6.83,14,4,15,0,7,5,2642,2012,62.9,113.5,0.31,0.395,0.573,51.4,56.3,11.4,9.4,0.552,14.8,33.4,0.21
Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/2013.html,0,2013,32,25,7,0.781,15.84,7.59,14,4,16,1,6,3,2070,1806,62.4,102,0.368,0.329,0.541,48.4,64.3,11.8,11.3,0.511,17.6,30.4,0.25
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2013.html,1,2013,35,32,3,0.914,20.47,4.18,16,0,15,1,10,1,2696,2095,65.3,118,0.402,0.315,0.585,53.3,55.2,12.1,8.2,0.555,14.6,37.8,0.283
Harvard,https://www.sports-reference.com/cbb/schools/harvard/2013.html,1,2013,30,20,10,0.667,3.95,0.16,11,3,13,1,6,8,2049,1924,63.8,105.6,0.489,0.337,0.583,46.3,57.9,11.2,11,0.542,18.5,26,0.354
Illinois,https://www.sports-reference.com/cbb/schools/illinois/2013.html,1,2013,36,23,13,0.639,13.23,10.08,8,10,12,4,6,6,2465,2332,65.5,104.2,0.31,0.419,0.516,46.6,42.5,10.4,11.5,0.479,14.7,33.1,0.225
Indiana,https://www.sports-reference.com/cbb/schools/indiana/2013.html,2,2013,36,29,7,0.806,24.9,8.38,14,4,17,2,7,2,2831,2236,67.1,116.3,0.459,0.323,0.59,53.3,54,10.5,9.3,0.548,16.3,39,0.341
Iona,https://www.sports-reference.com/cbb/schools/iona/2013.html,0,2013,34,20,14,0.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,70.5,111.1,0.327,0.366,0.562,47.1,54.7,9,7.4,0.521,14.7,32.8,0.255
Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/2013.html,1,2013,35,23,12,0.657,14.5,6.13,11,7,16,1,4,7,2779,2486,70,111.7,0.33,0.438,0.569,51.2,58.2,9,7,0.538,15.9,34.2,0.241
James Madison,https://www.sports-reference.com/cbb/schools/james-madison/2013.html,1,2013,36,21,15,0.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,64.1,100.9,0.368,0.324,0.514,46.2,51.7,11.7,13.5,0.476,15,29.6,0.257
Kansas State,https://www.sports-reference.com/cbb/schools/kansas-state/2013.html,0,2013,35,27,8,0.771,13.53,6.53,14,4,15,1,7,3,2414,2115,63.6,108.4,0.315,0.329,0.524,50.6,63.9,11.1,10.3,0.495,14.9,38.7,0.216
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2013.html,2,2013,37,31,6,0.838,20.79,7.54,14,4,16,1,7,3,2782,2292,67.8,109.1,0.395,0.29,0.572,52.6,58.4,10.2,17.6,0.533,17.5,33.8,0.291
La Salle,https://www.sports-reference.com/cbb/schools/la-salle/2013.html,3,2013,34,24,10,0.706,10.14,4.46,11,5,13,2,8,6,2450,2257,66.5,107.6,0.313,0.36,0.552,44.6,55.2,11.6,8.3,0.519,15,29,0.231
Liberty,https://www.sports-reference.com/cbb/schools/liberty/2013.html,0,2013,36,15,21,0.417,-9.13,-5.8,6,10,8,7,4,11,2489,2519,66.6,102.7,0.394,0.342,0.536,47.2,52.9,8.1,7.6,0.493,17.1,29.7,0.288
Long Island University,https://www.sports-reference.com/cbb/schools/long-island-university/2013.html,0,2013,34,20,14,0.588,-3.21,-5.8,12,6,12,2,7,9,2677,2589,70,111.6,0.456,0.339,0.576,48.6,56.3,9.7,8.3,0.544,17.3,35.2,0.315
Louisville,https://www.sports-reference.com/cbb/schools/louisville/2013.html,6,2013,40,35,5,0.875,24.81,9.13,14,4,15,1,8,3,2978,2351,66.4,110.3,0.4,0.3,0.544,51.1,55.7,15.9,12.1,0.506,15.3,38.2,0.283
Marquette,https://www.sports-reference.com/cbb/schools/marquette/2013.html,3,2013,35,26,9,0.743,14.04,8.58,14,4,16,0,5,6,2382,2191,63.4,105.9,0.409,0.27,0.541,50.8,57.4,10.3,10,0.496,17.6,38.3,0.299
Memphis,https://www.sports-reference.com/cbb/schools/memphis/2013.html,1,2013,36,31,5,0.861,12.26,2.7,16,0,17,1,9,1,2681,2337,69.5,106.3,0.372,0.286,0.55,50.8,62,12.7,16.3,0.524,17.7,35.6,0.246
Miami (FL),https://www.sports-reference.com/cbb/schools/miami-fl/2013.html,2,2013,36,29,7,0.806,16.99,7.88,15,3,14,1,10,3,2509,2181,64,108.5,0.346,0.356,0.548,50.1,45.6,9.6,12.3,0.519,14.1,30.6,0.236
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2013.html,2,2013,36,27,9,0.75,18.64,10.55,13,5,17,1,6,5,2448,2129,64.7,105.1,0.37,0.272,0.542,53.3,53.7,12.4,10.9,0.505,17.8,36.4,0.264
Michigan,https://www.sports-reference.com/cbb/schools/michigan/2013.html,5,2013,39,31,8,0.795,21.28,10.05,12,6,17,1,5,5,2932,2467,64.1,116.1,0.284,0.34,0.572,49.9,51.7,9.5,7.3,0.549,12.5,32.7,0.199
Middle Tennessee,https://www.sports-reference.com/cbb/schools/middle-tennessee/2013.html,0,2013,34,28,6,0.824,11.16,-1.52,19,1,15,0,11,3,2405,1974,65.6,107.1,0.414,0.262,0.548,52.3,56.7,10.6,11,0.511,17.4,36.5,0.288
Minnesota,https://www.sports-reference.com/cbb/schools/minnesota/2013.html,1,2013,34,21,13,0.618,16.83,10.31,8,10,15,2,3,8,2337,2115,63.5,107.8,0.416,0.297,0.531,53.1,61.7,11.7,15.8,0.493,17.5,43.6,0.285
Mississippi,https://www.sports-reference.com/cbb/schools/mississippi/2013.html,1,2013,36,27,9,0.75,14.42,4.14,12,6,16,1,6,6,2779,2409,70.5,108.4,0.388,0.33,0.526,48.1,46.1,11.6,13.7,0.491,13,33.6,0.263
Missouri,https://www.sports-reference.com/cbb/schools/missouri/2013.html,0,2013,34,23,11,0.676,15.41,6,11,7,17,0,2,8,2588,2268,68.2,110.7,0.35,0.315,0.551,53.7,51.1,9.8,9.1,0.512,15.8,38.7,0.261
Montana,https://www.sports-reference.com/cbb/schools/montana/2013.html,0,2013,32,25,7,0.781,-1.11,-4.21,19,1,15,1,10,4,2238,2096,63.8,107.5,0.398,0.36,0.576,46.4,53.3,9,8.3,0.532,16.7,25.9,0.305
Nevada-Las Vegas,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/2013.html,0,2013,35,25,10,0.714,12.92,5.71,10,6,17,2,6,6,2498,2206,68.9,103.2,0.373,0.344,0.53,52,64.4,10.5,14.6,0.492,17.1,33.8,0.262
New Mexico State,https://www.sports-reference.com/cbb/schools/new-mexico-state/2013.html,0,2013,35,24,11,0.686,5.11,0.7,14,4,15,1,6,8,2355,2175,65.2,102.5,0.462,0.24,0.528,53.1,48.2,8.6,14.1,0.493,18.5,37.3,0.303
New Mexico,https://www.sports-reference.com/cbb/schools/new-mexico/2013.html,0,2013,35,29,6,0.829,13.28,6.63,13,3,15,1,8,4,2355,2122,64.7,103.3,0.457,0.347,0.533,49.4,65.8,9.6,11.3,0.484,15.4,29.3,0.329
North Carolina A&T,https://www.sports-reference.com/cbb/schools/north-carolina-at/2013.html,1,2013,37,20,17,0.541,-6.94,-6.3,8,8,9,3,5,12,2299,2291,67.1,92.3,0.42,0.367,0.497,46.4,52.2,10.5,13.6,0.458,19.6,30,0.276
North Carolina State,https://www.sports-reference.com/cbb/schools/north-carolina-state/2013.html,0,2013,35,24,11,0.686,14.32,7.17,11,7,16,1,3,7,2708,2458,68.6,112.4,0.409,0.237,0.571,50.2,51.9,9.4,10.1,0.542,15.4,34.7,0.279
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2013.html,1,2013,36,25,11,0.694,14.52,8.01,12,6,14,2,7,6,2762,2492,71.6,106.8,0.282,0.312,0.525,48.6,60.2,11.7,8.1,0.499,14.1,34.4,0.19
Northwestern State,https://www.sports-reference.com/cbb/schools/northwestern-state/2013.html,0,2013,32,23,9,0.719,0.41,-3.77,15,3,13,1,8,7,2559,2285,74.4,107.5,0.386,0.3,0.539,47.6,53.2,12.9,10.6,0.505,15.9,35.3,0.265
Notre Dame,https://www.sports-reference.com/cbb/schools/notre-dame/2013.html,0,2013,35,25,10,0.714,13.74,7.22,11,7,17,2,4,5,2450,2222,62,109.8,0.32,0.32,0.551,50.6,65.8,7.8,9.3,0.522,15,34,0.227
Ohio State,https://www.sports-reference.com/cbb/schools/ohio-state/2013.html,3,2013,37,29,8,0.784,20.19,9.32,13,5,16,2,5,5,2599,2197,64.3,108.9,0.354,0.31,0.541,50.5,53.1,10.4,12.9,0.506,13.6,31.1,0.251
Oklahoma State,https://www.sports-reference.com/cbb/schools/oklahoma-state/2013.html,0,2013,33,24,9,0.727,15.57,6.73,13,5,15,2,5,5,2371,2079,67.3,104.8,0.405,0.313,0.536,49.1,48.9,11,12.8,0.488,15.7,31.3,0.302
Oklahoma,https://www.sports-reference.com/cbb/schools/oklahoma/2013.html,0,2013,32,20,12,0.625,11.4,7.09,12,7,12,2,5,7,2260,2122,66.8,104.9,0.354,0.267,0.524,48.7,49.1,9.6,7.4,0.478,14.8,33.2,0.268
Oregon,https://www.sports-reference.com/cbb/schools/oregon/2013.html,2,2013,37,28,9,0.757,13.82,5.77,12,6,17,2,6,5,2650,2352,68.8,102.4,0.383,0.273,0.531,52.5,51.3,12.1,10.2,0.493,18.2,35.7,0.27
Pacific,https://www.sports-reference.com/cbb/schools/pacific/2013.html,0,2013,35,22,13,0.629,1.96,1.05,13,5,13,2,4,9,2344,2238,63.3,105.4,0.372,0.321,0.542,47.8,61.9,8.7,4.2,0.509,15.3,29.5,0.256
Pittsburgh,https://www.sports-reference.com/cbb/schools/pittsburgh/2013.html,0,2013,33,24,9,0.727,18.82,5.63,12,6,16,3,6,3,2282,1847,60.4,113.2,0.375,0.263,0.546,53.1,64.2,10.8,12.7,0.517,14.8,40.4,0.251
Saint Louis,https://www.sports-reference.com/cbb/schools/saint-louis/2013.html,1,2013,35,28,7,0.8,14.33,4.28,13,3,17,2,6,3,2388,2036,64.5,105,0.44,0.341,0.545,47.3,56.1,11.7,8.3,0.504,14.9,27.4,0.31
Saint Mary's (CA),https://www.sports-reference.com/cbb/schools/saint-marys-ca/2013.html,1,2013,35,28,7,0.8,14.51,3.31,14,2,16,1,9,2,2610,2203,64.5,115.2,0.368,0.375,0.573,54.5,55.2,9.4,7.6,0.54,15.4,37.1,0.267
San Diego State,https://www.sports-reference.com/cbb/schools/san-diego-state/2013.html,1,2013,34,23,11,0.676,13.01,6.19,9,7,14,1,4,6,2356,2077,66.6,103.7,0.364,0.323,0.524,50.4,50.7,10.3,12,0.491,15.4,32.3,0.248
South Dakota State,https://www.sports-reference.com/cbb/schools/south-dakota-state/2013.html,0,2013,35,25,10,0.714,2.36,-3.27,13,3,13,0,7,9,2568,2300,64,113.1,0.324,0.358,0.574,51.3,55.6,7.7,6.1,0.539,14,29.8,0.247
Southern,https://www.sports-reference.com/cbb/schools/southern/2013.html,0,2013,33,23,10,0.697,-2.61,-10.31,15,3,12,0,8,8,2223,1890,65.4,103,0.392,0.352,0.533,46.9,49.4,11.3,10.8,0.497,14.7,26.4,0.27
Syracuse,https://www.sports-reference.com/cbb/schools/syracuse/2013.html,4,2013,40,30,10,0.75,20.3,8.57,11,7,17,2,5,5,2816,2347,65.2,107.3,0.368,0.304,0.523,49.7,55.8,13.7,19.3,0.49,15.5,38.8,0.248
Temple,https://www.sports-reference.com/cbb/schools/temple/2013.html,1,2013,34,24,10,0.706,9.52,5.2,11,5,14,3,8,4,2456,2309,67.6,106.8,0.356,0.373,0.529,46.5,58.4,11.6,9.5,0.49,13.6,30.8,0.257
UCLA,https://www.sports-reference.com/cbb/schools/ucla/2013.html,0,2013,35,25,10,0.714,12.88,7.82,13,5,15,3,6,3,2604,2427,69.6,105.4,0.331,0.241,0.528,46.6,58.2,11.5,8.4,0.491,13.7,30.7,0.24
Valparaiso,https://www.sports-reference.com/cbb/schools/valparaiso/2013.html,0,2013,34,26,8,0.765,7.15,-1.13,13,3,15,2,10,5,2420,2119,65.1,108.9,0.42,0.4,0.594,50.5,56.7,10.4,8.6,0.559,19.3,31.2,0.307
Villanova,https://www.sports-reference.com/cbb/schools/villanova/2013.html,0,2013,34,20,14,0.588,10.74,8.53,10,8,12,4,6,7,2307,2214,67.4,98.8,0.505,0.351,0.529,49.8,56.4,11.3,9.9,0.474,19.6,33,0.363
Virginia Commonwealth,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/2013.html,1,2013,36,27,9,0.75,16.89,4.47,12,4,15,2,8,3,2770,2323,68.6,111.4,0.298,0.357,0.541,48,51.6,17,8.9,0.513,13.7,36,0.209
Western Kentucky,https://www.sports-reference.com/cbb/schools/western-kentucky/2013.html,0,2013,36,20,16,0.556,-0.65,-1.14,10,10,11,4,4,9,2409,2364,67,99.5,0.385,0.362,0.52,50.3,47.8,9.2,8.7,0.485,18.8,35.1,0.26
Wichita State,https://www.sports-reference.com/cbb/schools/wichita-state/2013.html,4,2013,39,30,9,0.769,14.68,6.09,12,6,14,2,7,5,2720,2385,64.9,107.5,0.365,0.353,0.535,53.2,55.6,11.4,13.5,0.5,16.2,38,0.255
Wisconsin,https://www.sports-reference.com/cbb/schools/wisconsin/2013.html,0,2013,35,23,12,0.657,18.76,9.73,12,6,15,3,5,6,2274,1958,61.4,104.4,0.297,0.401,0.508,50.8,56.5,9.2,10.8,0.486,13,32.4,0.188
Albany (NY),https://www.sports-reference.com/cbb/schools/albany-ny/2014.html,1,2014,34,19,15,0.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,63,103.3,0.42,0.261,0.539,52.5,49.2,8.5,8.6,0.488,17.1,31.9,0.315
American,https://www.sports-reference.com/cbb/schools/american/2014.html,0,2014,33,20,13,0.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,60.7,103.4,0.35,0.358,0.584,50.6,65.8,9.8,9.9,0.558,20.7,26.5,0.248
Arizona State,https://www.sports-reference.com/cbb/schools/arizona-state/2014.html,0,2014,33,21,12,0.636,13.32,7.41,10,8,16,1,4,7,2486,2291,69,107.2,0.425,0.371,0.558,48.4,56.3,7.2,12.8,0.524,14.5,24.5,0.295
Arizona,https://www.sports-reference.com/cbb/schools/arizona/2014.html,3,2014,38,33,5,0.868,23.36,9.04,15,3,18,0,8,3,2769,2225,64.1,112.3,0.41,0.264,0.546,55.1,57.6,9,11.5,0.517,13.2,36.4,0.27
Baylor,https://www.sports-reference.com/cbb/schools/baylor/2014.html,2,2014,38,26,12,0.684,15.8,10.11,9,9,13,4,5,5,2843,2577,64.2,115.1,0.45,0.344,0.556,54.8,58.7,8,14,0.521,14.7,40.6,0.306
Brigham Young,https://www.sports-reference.com/cbb/schools/brigham-young/2014.html,0,2014,35,23,12,0.657,11.63,5.72,13,5,14,1,5,7,2931,2706,73.5,111.9,0.483,0.228,0.545,53.3,53.8,9.6,7.3,0.503,12.8,34.7,0.334
Cal Poly,https://www.sports-reference.com/cbb/schools/cal-poly/2014.html,1,2014,34,14,20,0.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,60.8,103.5,0.326,0.354,0.501,48.8,52.3,9.6,8,0.466,12.4,31.8,0.224
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/2014.html,0,2014,34,27,7,0.794,15.26,5.28,15,3,18,1,7,3,2325,1986,63.6,107.5,0.387,0.309,0.519,53.2,52.8,12.4,16,0.477,14.4,39.1,0.274
Coastal Carolina,https://www.sports-reference.com/cbb/schools/coastal-carolina/2014.html,0,2014,34,21,13,0.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,68.6,104.2,0.385,0.319,0.528,53.2,42,9.2,8.6,0.491,16.9,35.1,0.266
Colorado,https://www.sports-reference.com/cbb/schools/colorado/2014.html,0,2014,35,23,12,0.657,10.8,8.8,10,8,16,2,5,6,2457,2387,67,103.7,0.483,0.304,0.534,54.3,48.8,8.7,9,0.483,16.8,34,0.346
Connecticut,https://www.sports-reference.com/cbb/schools/connecticut/2014.html,6,2014,40,32,8,0.8,17.23,8.63,12,6,14,3,6,4,2873,2529,65.5,108.9,0.383,0.343,0.562,50.2,50.3,10.7,15.2,0.515,15.2,30.4,0.298
Creighton,https://www.sports-reference.com/cbb/schools/creighton/2014.html,1,2014,35,27,8,0.771,18.03,7.17,14,4,16,0,7,4,2756,2376,65.3,120.6,0.339,0.446,0.616,51.7,64.2,6.1,3.8,0.589,13.3,27.7,0.252
Dayton,https://www.sports-reference.com/cbb/schools/dayton/2014.html,3,2014,37,26,11,0.703,10.55,5.34,10,6,13,4,7,4,2671,2478,65.4,109.6,0.406,0.319,0.555,52.7,51.9,9.1,7.3,0.524,15.5,34,0.277
Delaware,https://www.sports-reference.com/cbb/schools/delaware/2014.html,0,2014,35,25,10,0.714,2.73,-1.1,14,2,10,2,11,7,2782,2648,70.9,111.7,0.439,0.345,0.546,48.1,40.3,8.4,8.5,0.504,11.6,29.1,0.312
Duke,https://www.sports-reference.com/cbb/schools/duke/2014.html,0,2014,35,26,9,0.743,19.51,8.48,13,5,17,0,4,5,2745,2359,65.5,119.4,0.388,0.397,0.574,51.5,54.8,10.6,7.4,0.538,12.1,34.5,0.283
Eastern Kentucky,https://www.sports-reference.com/cbb/schools/eastern-kentucky/2014.html,0,2014,34,24,10,0.706,0.6,-4.34,11,5,12,2,8,6,2677,2411,67.5,116.3,0.441,0.446,0.611,44.3,56.5,13,6.4,0.574,14.1,23.6,0.331
Florida,https://www.sports-reference.com/cbb/schools/florida/2014.html,4,2014,39,36,3,0.923,20.69,8.54,18,0,17,0,10,2,2727,2253,62.9,111.1,0.424,0.346,0.552,53.8,53.9,11.2,8.6,0.522,14.5,34.7,0.283
George Washington,https://www.sports-reference.com/cbb/schools/george-washington/2014.html,0,2014,33,24,9,0.727,10.6,4.42,11,5,14,1,6,5,2415,2211,68,107.3,0.466,0.284,0.546,52.5,54.9,10.4,11.2,0.515,16.2,35.1,0.304
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2014.html,1,2014,36,29,7,0.806,15.56,5.36,15,3,15,0,8,4,2761,2372,68.1,114.1,0.404,0.328,0.59,52.3,54,9.7,10.2,0.56,15.2,30.6,0.286
Harvard,https://www.sports-reference.com/cbb/schools/harvard/2014.html,1,2014,32,27,5,0.844,10.79,-0.47,13,1,11,1,11,3,2343,1952,64.6,111.6,0.48,0.283,0.564,52.1,57.1,11.6,13.4,0.519,15,32.8,0.347
Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/2014.html,2,2014,36,28,8,0.778,18.52,9.88,11,7,15,1,4,6,2989,2678,71.7,113.9,0.364,0.375,0.569,51.1,62.4,8.2,7,0.542,12.6,28.8,0.252
Iowa,https://www.sports-reference.com/cbb/schools/iowa/2014.html,0,2014,33,20,13,0.606,18.58,7.43,9,9,13,4,4,6,2689,2321,69.9,115,0.453,0.275,0.558,54.7,57.9,10,13.5,0.511,13.3,37.7,0.333
Kansas State,https://www.sports-reference.com/cbb/schools/kansas-state/2014.html,0,2014,33,20,13,0.606,12.14,8.47,10,8,15,2,2,7,2280,2159,65.6,104.2,0.403,0.325,0.52,50.7,63,9.4,8,0.488,15.6,34.7,0.264
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2014.html,1,2014,35,25,10,0.714,20.25,11.4,14,4,14,1,5,6,2764,2454,68.6,114.3,0.483,0.287,0.58,55.5,54.8,8.4,14.6,0.542,16.3,37.3,0.343
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/2014.html,5,2014,40,29,11,0.725,18.07,9.9,12,6,16,2,5,5,2992,2665,65.9,112.4,0.518,0.276,0.543,56.6,44.4,7.1,14.9,0.5,14.5,41.4,0.353
Louisiana,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/2014.html,0,2014,35,23,12,0.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,71.2,111.4,0.429,0.315,0.554,52.3,47.8,9.8,10.2,0.522,15.2,36.3,0.288
Louisville,https://www.sports-reference.com/cbb/schools/louisville/2014.html,2,2014,37,31,6,0.838,24.69,4.8,15,3,16,2,9,2,2998,2262,69,117.4,0.412,0.351,0.562,52.1,54,14.5,12.5,0.535,12.8,37.1,0.272
Manhattan,https://www.sports-reference.com/cbb/schools/manhattan/2014.html,0,2014,33,25,8,0.758,6.04,-0.9,15,5,9,3,12,4,2540,2311,70.3,107.1,0.555,0.307,0.547,50.7,52.3,11.5,15.3,0.507,16.8,34.4,0.368
Massachusetts,https://www.sports-reference.com/cbb/schools/massachusetts/2014.html,0,2014,33,24,9,0.727,10.61,6,10,6,11,2,7,4,2502,2350,71.7,105.3,0.392,0.261,0.538,51.9,55.4,9.5,12.3,0.504,16.1,34.4,0.268
Memphis,https://www.sports-reference.com/cbb/schools/memphis/2014.html,1,2014,34,24,10,0.706,13.02,7.14,12,6,15,2,5,5,2614,2397,70.6,108.2,0.399,0.275,0.547,51.5,61.7,12.2,11,0.522,15.8,35.6,0.257
Mercer,https://www.sports-reference.com/cbb/schools/mercer/2014.html,1,2014,36,27,9,0.75,5.33,-3.42,14,4,17,1,9,7,2836,2410,65.7,115.8,0.384,0.367,0.582,52.9,59.7,8.6,11.8,0.547,14.7,34,0.282
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2014.html,3,2014,38,29,9,0.763,19.35,9.38,12,6,12,4,7,3,2870,2491,66,113.3,0.337,0.363,0.573,53.7,62.2,10.2,13.4,0.545,14.7,32.2,0.239
Michigan,https://www.sports-reference.com/cbb/schools/michigan/2014.html,3,2014,37,28,9,0.757,18.52,9.65,15,3,13,2,7,4,2736,2408,62.5,117.5,0.349,0.401,0.592,50.1,55.6,8.2,6.3,0.557,12.7,28.6,0.266
Milwaukee,https://www.sports-reference.com/cbb/schools/milwaukee/2014.html,0,2014,35,21,14,0.6,-1.53,-0.44,7,9,7,6,10,6,2465,2469,67.9,102.6,0.436,0.399,0.541,48.8,58.9,8.3,6.4,0.493,17.1,28.3,0.32
Mount St. Mary's,https://www.sports-reference.com/cbb/schools/mount-st-marys/2014.html,0,2014,33,16,17,0.485,-6.32,-4.44,9,7,10,3,6,13,2504,2566,70,107.5,0.367,0.434,0.554,46.6,46.1,10,6.7,0.515,14.7,27.8,0.271
Nebraska,https://www.sports-reference.com/cbb/schools/nebraska/2014.html,0,2014,32,19,13,0.594,10.13,8.5,11,7,15,1,3,8,2137,2085,65.4,102.2,0.423,0.335,0.528,48.6,42.3,10.6,9.3,0.483,14.7,25.7,0.303
New Mexico State,https://www.sports-reference.com/cbb/schools/new-mexico-state/2014.html,0,2014,36,26,10,0.722,6.16,-2.58,12,4,14,1,8,7,2771,2415,66.9,113.8,0.535,0.273,0.576,53.5,50.6,6.9,13.5,0.539,16,37.5,0.368
New Mexico,https://www.sports-reference.com/cbb/schools/new-mexico/2014.html,0,2014,34,27,7,0.794,12.72,4.84,15,3,13,2,8,2,2516,2248,65.6,111.2,0.466,0.32,0.556,53.8,61.6,7.2,13.3,0.511,13.8,32.5,0.338
North Carolina Central,https://www.sports-reference.com/cbb/schools/north-carolina-central/2014.html,0,2014,34,28,6,0.824,3.97,-8.03,16,1,14,0,11,5,2513,2023,64.7,112.5,0.476,0.297,0.559,52.6,59,11.7,12.4,0.513,14.8,36.6,0.347
North Carolina State,https://www.sports-reference.com/cbb/schools/north-carolina-state/2014.html,1,2014,36,22,14,0.611,9.02,7.44,9,9,13,6,6,6,2561,2504,64.9,108.1,0.37,0.255,0.529,49.5,49.1,7.3,10.8,0.5,13.4,34.2,0.243
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2014.html,1,2014,34,24,10,0.706,15.24,8.42,13,5,15,3,6,5,2604,2372,70,108.5,0.429,0.211,0.526,53.4,54.9,10.4,12.5,0.499,14.1,38.1,0.268
